#C_ID        C_NGAL G_ID         G_RA    G_DEC  G_Z
000000000093 000004 000000005088 142.166 +00.042 0.455
000000000093 000004 000000007400 142.159 +00.072 0.458
000000000093 000004 000000009378 142.140 +00.045 0.459
000000000014 000004 000000000295 150.744 -00.795 0.651
000000000014 000004 000000008272 150.728 -00.797 0.651
000000000014 000004 000000010266 150.677 -00.700 0.658
000000000014 000004 000000011431 150.636 -00.646 0.648
000000000218 000004 000000001344 321.023 -00.103 0.503
000000000218 000004 000000002216 321.044 -00.130 0.507
000000000218 000004 000000011221 321.009 -00.087 0.506
000000000218 000004 000000012651 321.024 -00.161 0.505
000000000223 000004 000000001467 187.641 +00.279 0.403
000000000223 000004 000000002573 187.642 +00.247 0.409
000000000223 000004 000000006007 187.628 +00.009 0.402
000000000223 000004 000000012740 187.640 +00.107 0.403
000000000225 000004 000000001499 209.597 +00.051 0.533
000000000225 000004 000000006369 209.538 +00.055 0.534
000000000225 000004 000000007139 209.493 +00.062 0.531
000000000225 000004 000000009217 209.586 +00.058 0.531
000000000220 000004 000000001403 348.251 -00.237 0.584
000000000220 000004 000000007740 348.230 -00.256 0.586
000000000220 000004 000000008977 348.222 -00.251 0.587
000000000220 000004 000000011497 348.257 -00.220 0.591
000000000087 000004 000000003467 014.295 +00.107 0.572
000000000087 000004 000000010297 014.335 +00.113 0.572
000000000087 000004 000000010670 014.389 +00.191 0.572
000000000087 000004 000000012695 014.361 +00.130 0.561
000000000228 000004 000000001534 185.300 -01.045 0.763
000000000228 000004 000000005841 185.165 -00.712 0.767
000000000228 000004 000000005959 185.249 -00.236 0.774
000000000228 000004 000000009747 185.344 -00.428 0.759
000000000230 000004 000000001568 343.642 +00.015 0.578
000000000230 000004 000000001922 343.584 +00.029 0.573
000000000230 000004 000000006454 343.576 +00.014 0.577
000000000230 000004 000000007228 343.592 -00.007 0.577
000000000091 000004 000000003674 167.307 +00.190 0.541
000000000091 000004 000000010043 167.301 +00.197 0.537
000000000091 000004 000000010281 167.286 +00.155 0.540
000000000091 000004 000000010923 167.277 +00.118 0.541
000000000320 000004 000000003993 204.781 -00.545 0.466
000000000320 000004 000000006117 204.893 -00.578 0.465
000000000320 000004 000000006249 204.835 -00.558 0.468
000000000320 000004 000000011588 204.895 -00.560 0.469
000000000234 000004 000000001642 186.336 -00.142 0.472
000000000234 000004 000000005935 186.346 -00.140 0.472
000000000234 000004 000000008833 186.338 -00.142 0.474
000000000234 000004 000000011524 186.385 -00.174 0.459
000000000210 000004 000000001241 218.771 +00.336 0.574
000000000210 000004 000000005873 218.792 +00.296 0.576
000000000210 000004 000000009420 218.834 +00.317 0.574
000000000210 000004 000000012598 218.744 +00.256 0.576
000000000085 000004 000000002169 163.245 +00.679 0.611
000000000085 000004 000000003355 163.146 +00.729 0.623
000000000085 000004 000000005753 163.163 +00.720 0.616
000000000085 000004 000000007456 163.318 +00.630 0.613
000000000241 000004 000000001855 218.288 +00.422 0.453
000000000241 000004 000000006140 218.258 +00.421 0.455
000000000241 000004 000000011144 218.236 +00.396 0.445
000000000241 000004 000000011728 218.247 +00.403 0.453
000000000084 000004 000000003342 139.634 -00.607 0.583
000000000084 000004 000000010253 139.571 -00.586 0.585
000000000084 000004 000000011754 139.663 -00.576 0.582
000000000084 000004 000000012952 139.638 -00.592 0.583
000000000083 000004 000000003341 012.704 +00.555 0.499
000000000083 000004 000000006758 012.748 +00.629 0.499
000000000083 000004 000000010528 012.700 +00.592 0.500
000000000083 000004 000000012696 012.741 +00.624 0.499
000000000350 000004 000000005926 346.342 +00.230 0.627
000000000350 000004 000000006539 346.399 +00.126 0.609
000000000350 000004 000000010620 346.371 +00.105 0.610
000000000350 000004 000000012861 346.315 +00.188 0.614
000000000080 000004 000000003118 141.972 -00.138 0.454
000000000080 000004 000000003632 141.999 -00.165 0.459
000000000080 000004 000000009647 141.962 -00.114 0.459
000000000080 000004 000000012303 141.977 -00.136 0.455
000000000249 000004 000000001967 203.624 +00.357 0.487
000000000249 000004 000000002602 203.650 +00.355 0.482
000000000249 000004 000000003940 203.641 +00.355 0.484
000000000249 000004 000000006434 203.653 +00.357 0.485
