#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000554 204.836 -00.226 0.588 000004 00.139 27.795 02.974
000000000553 210.393 +00.410 0.565 000004 00.109 45.206 03.793
000000000533 323.811 +00.223 0.589 000004 00.141 26.901 02.926
000000000591 198.017 -00.571 0.600 000004 00.104 49.506 03.970
000000000109 163.466 -00.079 0.525 000004 00.168 18.889 02.452
000000000336 203.469 -00.630 0.495 000004 00.172 17.929 02.389
000000000335 224.483 +00.321 0.482 000004 00.286 06.529 01.442
000000000333 187.132 +00.204 0.480 000004 00.238 09.402 01.730
000000000111 155.138 +00.093 0.531 000004 00.217 11.335 01.899
000000000329 190.299 -00.815 0.473 000004 00.153 22.772 02.692
000000000539 221.792 -00.044 0.576 000004 00.259 07.975 01.593
000000000349 227.546 +00.115 0.484 000004 00.150 23.657 02.744
000000000518 208.668 -00.076 0.585 000004 00.176 17.165 02.337
000000000135 123.150 -00.267 0.528 000004 00.226 10.459 01.825
000000000616 218.921 -00.701 0.652 000004 00.053 192.282 07.823
000000000036 151.184 -00.652 0.484 000004 00.226 10.454 01.824
000000000434 210.457 -00.252 0.526 000004 00.184 15.822 02.244
000000000436 321.644 -00.206 0.539 000004 00.235 09.641 01.752
000000000581 224.067 -00.044 0.613 000004 00.180 16.531 02.294
000000000035 156.046 -00.403 0.500 000004 00.200 13.314 02.059
000000000438 349.381 +00.304 0.524 000004 00.200 13.367 02.063
000000000439 219.637 -00.946 0.537 000004 00.167 19.152 02.469
000000000033 010.093 -00.978 0.469 000004 00.171 18.137 02.403
000000000013 166.280 -00.070 0.452 000004 00.127 33.303 03.256
000000000502 206.086 -00.050 0.567 000004 00.146 25.071 02.825
000000000443 326.050 -00.463 0.555 000004 00.241 09.159 01.707
000000000468 206.898 +00.257 0.529 000004 00.230 10.048 01.788
000000000467 199.832 +00.450 0.537 000004 00.167 19.139 02.468
000000000465 348.286 -00.772 0.551 000004 00.203 12.987 02.033
000000000574 211.656 -00.493 0.599 000004 00.139 27.698 02.969
000000000187 163.125 +00.755 0.540 000004 00.137 28.595 03.017
000000000500 322.558 +00.127 0.562 000004 00.208 12.382 01.985
000000000214 013.965 -00.127 0.579 000004 00.124 34.538 03.316
000000000026 010.343 -00.325 0.485 000004 00.203 12.883 02.025
000000000452 223.824 -00.640 0.536 000004 00.150 23.615 02.742
000000000617 205.915 -00.312 0.646 000004 00.119 37.845 03.471
000000000191 010.613 +00.155 0.575 000004 00.163 20.168 02.534
000000000024 152.410 -00.567 0.472 000004 00.179 16.648 02.302
000000000618 227.161 -00.640 0.662 000004 00.094 59.956 04.369
