#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000152 226.768 +00.800 0.505 000003 00.230 05.671 01.344
000000000153 320.809 -00.304 0.509 000003 00.421 01.695 00.734
000000000157 313.977 +00.496 0.716 000003 00.061 79.755 05.039
000000000159 348.579 -00.061 0.488 000003 00.175 09.841 01.770
000000000172 321.028 -00.078 0.531 000003 00.155 12.520 01.996
000000000160 220.372 -00.900 0.537 000003 00.376 02.123 00.822
000000000161 199.809 +00.447 0.515 000003 00.241 05.177 01.284
000000000163 325.794 -01.019 0.552 000003 00.212 06.692 01.460
000000000165 322.838 +00.355 0.501 000003 00.157 12.187 01.970
000000000166 348.899 -00.148 0.570 000003 00.215 06.504 01.439
000000000169 205.102 -00.594 0.444 000003 00.269 04.149 01.149
000000000206 207.156 +00.048 0.507 000003 00.152 13.025 02.036
000000000207 212.928 -00.718 0.651 000003 00.117 21.965 02.644
000000000208 204.398 +00.066 0.476 000003 00.336 02.660 00.920
000000000251 324.755 -01.139 0.496 000003 00.259 04.473 01.193
000000000241 225.251 -00.412 0.470 000003 00.208 06.928 01.485
000000000243 343.640 -00.630 0.644 000003 00.084 42.545 03.680
000000000246 226.381 +00.264 0.624 000003 00.108 25.830 02.867
000000000247 212.619 +00.243 0.498 000003 00.322 02.897 00.960
000000000248 199.682 +00.121 0.505 000003 00.277 03.917 01.117
000000000249 350.558 -00.776 0.428 000003 00.106 26.670 02.914
000000000255 343.688 -00.949 0.530 000003 00.193 08.022 01.598
000000000209 211.093 -00.020 0.444 000003 00.163 11.316 01.898
000000000257 213.524 -00.540 0.645 000003 00.324 02.855 00.953
000000000258 328.106 -00.759 0.499 000003 00.197 07.768 01.572
000000000259 201.142 -00.216 0.656 000003 00.096 32.810 03.232
000000000261 321.789 -01.050 0.593 000003 00.424 01.668 00.729
000000000263 186.108 -00.386 0.491 000003 00.234 05.481 01.321
000000000266 204.420 -00.728 0.528 000003 00.354 02.391 00.872
000000000240 327.862 +00.241 0.460 000003 00.170 10.406 01.820
000000000239 186.965 -00.001 0.599 000003 00.302 03.291 01.024
000000000237 226.669 +00.133 0.501 000003 00.334 02.691 00.925
000000000236 223.802 -00.240 0.649 000003 00.089 38.091 03.482
000000000235 321.488 -00.159 0.527 000003 00.200 07.505 01.546
000000000233 225.861 +00.361 0.540 000003 00.398 01.892 00.776
000000000231 210.385 -00.666 0.578 000003 00.306 03.209 01.011
000000000226 342.512 -00.270 0.504 000003 00.164 11.122 01.882
000000000225 204.199 -00.352 0.524 000003 00.497 01.216 00.622
000000000221 202.986 -00.462 0.547 000003 00.147 13.870 02.101
000000000220 323.816 +00.238 0.612 000003 00.104 27.566 02.962
000000000219 347.834 -00.466 0.579 000003 00.220 06.185 01.403
000000000218 226.724 -00.871 0.677 000003 00.103 28.228 02.998
000000000215 204.847 -00.499 0.433 000003 00.171 10.201 01.802
000000000213 220.907 -00.972 0.561 000003 00.216 06.423 01.430
000000000211 224.324 -00.669 0.577 000003 00.243 05.097 01.274
000000000210 219.538 -00.441 0.324 000003 00.064 74.159 04.859
000000000000 141.250 -00.852 0.437 000003 00.340 02.600 00.910
